title,artist,institution,licence,page_url,image_url,file,jpeg_bytes
Mona Lisa,Leonardo da Vinci,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_retouched.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg/1920px-Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/mona-lisa__leonardo-da-vinci.jpg,2379957
The Last Supper,Leonardo da Vinci,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Leonardo_da_Vinci_(1452-1519)_-_The_Last_Supper_(1495-1498).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Leonardo_da_Vinci_%281452-1519%29_-_The_Last_Supper_%281495-1498%29.jpg/1920px-Leonardo_da_Vinci_%281452-1519%29_-_The_Last_Supper_%281495-1498%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-last-supper__leonardo-da-vinci.jpg,775265
Lady with an Ermine,Leonardo da Vinci,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Lady_with_an_Ermine_-_Leonardo_da_Vinci_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Lady_with_an_Ermine_-_Leonardo_da_Vinci_-_Google_Art_Project.jpg/1920px-Lady_with_an_Ermine_-_Leonardo_da_Vinci_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/lady-with-an-ermine__leonardo-da-vinci.jpg,717122
Vitruvian Man,Leonardo da Vinci,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Da_Vinci_Vitruve_Luc_Viatour.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Da_Vinci_Vitruve_Luc_Viatour.jpg/1920px-Da_Vinci_Vitruve_Luc_Viatour.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/vitruvian-man__leonardo-da-vinci.jpg,1548835
The Annunciation,Leonardo da Vinci,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:L%27Annonciation,_by_Leonardo_da_Vinci,_from_C2RMF_retouched.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/L%27Annonciation%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg/1920px-L%27Annonciation%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-annunciation__leonardo-da-vinci.jpg,338705
The Birth of Venus,Sandro Botticelli,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Sandro_Botticelli_046.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Sandro_Botticelli_046.jpg/1920px-Sandro_Botticelli_046.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-birth-of-venus__sandro-botticelli.jpg,489542
Primavera,Sandro Botticelli,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Botticelli-primavera.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Botticelli-primavera.jpg/1920px-Botticelli-primavera.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/primavera__sandro-botticelli.jpg,1123071
The Creation of Adam,Michelangelo,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:The_Creation_of_Adam_perspective_fix.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/The_Creation_of_Adam_perspective_fix.jpg/1920px-The_Creation_of_Adam_perspective_fix.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-creation-of-adam__michelangelo.jpg,521182
The School of Athens,Raphael,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg/1920px-%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-school-of-athens__raphael.jpg,1105653
The Sistine Madonna,Raphael,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Raphael_-_The_Sistine_Madonna_-_Google_Arts_%26_Culture.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Raphael_-_The_Sistine_Madonna_-_Google_Arts_%26_Culture.jpg/1920px-Raphael_-_The_Sistine_Madonna_-_Google_Arts_%26_Culture.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-sistine-madonna__raphael.jpg,1540754
